ledger,snapshot_date,no_clustering,entropy,entropy_percentage,gini,hhi,nakamoto_coefficient,theil_index,max_power_ratio,tau_index
litecoin,Feb-2018,True,3.0050672408439296,0.26204836116135094,0.9977416747535843,1637.9271664622777,3,5.865784569429591,0.23883671614662225,4
litecoin,Mar-2018,True,2.9478038852576605,0.25705487273552546,0.997793246877162,1732.4492209032019,3,5.905476502903593,0.27130057018734727,4
litecoin,Apr-2018,True,2.998825523208125,0.2615040698872445,0.9976590656798237,1599.1080282980786,3,5.870110998410679,0.22866416699311656,4
litecoin,May-2018,True,3.142615365066805,0.27404285500944864,0.9975389936401746,1445.7389482026965,3,5.77044347493319,0.19845644983461963,4
litecoin,Jun-2018,True,3.0427807185819504,0.26533705796674023,0.9976685887524334,1544.0539178166496,3,5.839643578666393,0.20400929692039513,4
litecoin,Jul-2018,True,3.040708730659408,0.26515637613970205,0.997698975241647,1522.394647897974,3,5.841079771253045,0.2078984485190409,4
litecoin,Aug-2018,True,3.1182027540135544,0.27191402253900543,0.997575714097569,1466.34576556796,3,5.78736500745487,0.1952243207985934,4
litecoin,Sep-2018,True,3.1088381607530753,0.27109740975793434,0.9975816238589662,1447.974738519917,3,5.7938560488704285,0.18966908797417273,4
litecoin,Oct-2018,True,3.1313406850539125,0.27305967853344826,0.9975530652083285,1414.230510150155,3,5.77825848759585,0.18373698506111363,4
litecoin,Nov-2018,True,3.2538022110320877,0.28373858839334437,0.9973210547775773,1306.1038254126343,4,5.693374626136998,0.1795196717354574,5
litecoin,Dec-2018,True,3.357334661582538,0.2927668419462149,0.9971403752743639,1290.2562036630839,3,5.621611399941504,0.19248246844319775,5
litecoin,Jan-2019,True,3.613597422820339,0.31511350883483646,0.996700168090769,1120.7857386790492,4,5.443983589507025,0.19454545454545455,5
litecoin,Feb-2019,True,3.4669218111296947,0.3023230783434782,0.9969783213269533,1136.4432009489776,4,5.545651376207283,0.19100918547356896,5
litecoin,Mar-2019,True,3.4902831205895066,0.3043602350417781,0.9969641443934761,1142.7615211102202,4,5.5294585504210145,0.1832363972386802,5
litecoin,Apr-2019,True,3.4652299790534635,0.302175546928237,0.9970670901927198,1206.9284640733576,4,5.546824064840904,0.20137812230835486,5
litecoin,May-2019,True,3.4289431052564283,0.29901125307120124,0.9971125360537068,1163.6618555841292,4,5.571976209104653,0.18715393133997785,5
litecoin,Jun-2019,True,3.42016919891426,0.29824614946663014,0.9971379983949484,1181.8434629886217,4,5.578057817548227,0.20164445704564785,5
litecoin,Jul-2019,True,3.3893249070547187,0.29555646052286283,0.9972078283548227,1228.3537488008687,4,5.5994374514870255,0.21404700902305893,5
litecoin,Aug-2019,True,3.24430740077568,0.28291062040866427,0.9974360886667785,1328.475207922333,3,5.699955927096175,0.23223803666608095,5
litecoin,Sep-2019,True,3.307339595877692,0.2884071641140378,0.9973243052318687,1280.0062211649429,3,5.656265338776717,0.23775325509429557,5
litecoin,Oct-2019,True,3.2497256199328786,0.28338310083481216,0.9973840696729738,1320.5999976614878,4,5.696200303763714,0.25209044871039926,5
litecoin,Nov-2019,True,3.2380194514942775,0.2823622976350965,0.9974513607836681,1398.13071117072,3,5.704314401412094,0.2660151361659019,5
litecoin,Dec-2019,True,3.27627847870396,0.2856985675340387,0.9973953243893311,1292.1527497237257,3,5.677795264570738,0.21783857110558444,5
litecoin,Jan-2020,True,3.344904838832548,0.29168293452581184,0.997243273710729,1236.3285043072221,4,5.630227096535515,0.20103725184028554,5
litecoin,Feb-2020,True,3.5110717943140597,0.3061730523412364,0.9968952032660754,1097.4857989536224,4,5.5150489398412805,0.1508726718987935,5
litecoin,Mar-2020,True,3.3452915441637106,0.29171665606684966,0.9972235677428982,1230.557810231809,4,5.629959052825502,0.16315089868808877,5
litecoin,Apr-2020,True,3.2610065987887036,0.28436682658353607,0.9973792436432285,1299.5916658255499,4,5.688380925075845,0.19695511913520855,5
litecoin,May-2020,True,3.3571947829585365,0.29275464422774694,0.9972509531624139,1232.0945820637046,4,5.6217083564153425,0.21697245223791742,5
litecoin,Jun-2020,True,3.402352865853593,0.29669252670005886,0.9971706343573956,1184.2047555407937,4,5.590407158577149,0.20900952930984695,5
litecoin,Jul-2020,True,3.2842695891279665,0.28639540964193183,0.9973778767719035,1266.6693700573833,3,5.672256248910791,0.2216366158113731,5
litecoin,Aug-2020,True,3.5199164320127148,0.30694432387303333,0.9950528679941653,1196.2545378231264,4,5.508918304157371,0.21086514569686018,5
litecoin,Sep-2020,True,3.285014364905882,0.28646035570017064,0.9973465711442747,1217.1239333403691,4,5.6717400096801756,0.20440161924853184,5
litecoin,Oct-2020,True,3.3585148537191665,0.2928697572524202,0.9971837751366046,1144.7923471727424,4,5.6207933530894705,0.19620441430186208,5
litecoin,Nov-2020,True,3.700827514150484,0.32272016141363197,0.9964305772338811,899.4423204880795,5,5.383520297641526,0.1291645310097386,6
litecoin,Dec-2020,True,3.4314835905630727,0.2992327888831499,0.9969687355004231,1055.722910011304,4,5.570215278877103,0.1391084760649978,6
litecoin,Jan-2021,True,3.4134459332195117,0.29765986616054796,0.9970763257806188,1120.8968689714743,4,5.582718030208696,0.17691882937603534,5
litecoin,Feb-2021,True,3.441769273121534,0.3001297226426467,0.9970180194406428,1097.6385941900385,4,5.563085787011571,0.18024844720496894,6
litecoin,Mar-2021,True,3.36400305468043,0.29334834024320194,0.9970886469245918,1126.524880707436,4,5.616989222066834,0.14449631587828338,5
litecoin,Apr-2021,True,3.2394002613887394,0.2824827072435742,0.9972307628884282,1188.8842252496527,4,5.70335729692686,0.14215264636733757,5
litecoin,May-2021,True,3.2306171142698825,0.2817167978232948,0.997328068180085,1203.4211524979114,4,5.709445310588735,0.1605972122748058,5
litecoin,Jun-2021,True,3.193841754827689,0.27850990696176453,0.997478623647643,1277.7219583498127,4,5.734936047300169,0.17720804864288847,5
litecoin,Jul-2021,True,3.085308442320388,0.26904556743305436,0.9977079808982083,1444.660022696194,3,5.810165606861439,0.2027196083763938,4
litecoin,Aug-2021,True,2.7885034338283985,0.24316352892067686,0.9980295788763288,1677.4216326335606,3,6.015895161673731,0.2055564742847693,4
litecoin,Sep-2021,True,2.703153705807616,0.2357208480883065,0.9981491088356489,1755.2752327835478,3,6.075055085012891,0.2252294110814264,4
litecoin,Oct-2021,True,2.737350928375207,0.23870291983974945,0.9981515218807228,1766.2954856597858,3,6.051351376607185,0.23904492825882223,4
litecoin,Nov-2021,True,2.796792789523019,0.24388637866105362,0.9981270660007787,1782.803794391221,3,6.010149418145346,0.2550398499765588,3
litecoin,Dec-2021,True,2.7908271572712855,0.2433661626294087,0.9981649147752896,1831.6596564189751,2,6.01428447932089,0.27094572277881757,3
litecoin,Jan-2022,True,2.7539532530703243,0.24015067845183372,0.9981955448470431,1825.892162388444,2,6.039843522054027,0.2598368388922804,3
litecoin,Feb-2022,True,2.711716652324068,0.23646755553992363,0.998256588620721,1903.0319357554717,2,6.069119702777729,0.27867733730380295,3
litecoin,Mar-2022,True,2.781009548123286,0.24251004588340422,0.9981684742529328,1859.466581687769,2,6.021089527421667,0.27663438256658596,3
litecoin,Apr-2022,True,2.8392805700117068,0.2475914049896216,0.9980914324536938,1765.9537143244463,3,5.980699132891364,0.27733547167649925,4
litecoin,May-2022,True,2.884537241162307,0.25153788457099113,0.9980104414417602,1697.1342383068677,3,5.949329598881788,0.26270947356542346,4
litecoin,Jun-2022,True,2.9618577553477237,0.258280400595608,0.9978939721393975,1592.4981465200271,3,5.895735102474735,0.2434081886591219,4
litecoin,Jul-2022,True,2.9213183899231154,0.2547452802736227,0.9979698541615304,1701.7545100438506,3,5.9238348493204995,0.2901967341024355,4
litecoin,Aug-2022,True,2.842683244174635,0.2478881255341213,0.9980464684132302,1780.1653451926102,3,5.978340578888958,0.30198490355046126,4
litecoin,Sep-2022,True,2.7870050610079757,0.24303286757085288,0.9981104389724398,1812.0797781717656,3,6.016933754569628,0.309837379752634,4
litecoin,Oct-2022,True,2.7770465225134515,0.24216446148110446,0.9981287413382683,1813.9824418765654,3,6.0238364874496115,0.306861817574712,4
litecoin,Nov-2022,True,2.796769052258404,0.2438843087202529,0.9980971415173399,1790.8649451262074,3,6.010165871563383,0.305153346254703,4
litecoin,Dec-2022,True,2.7878768184603193,0.24310888670567019,0.998111346894787,1799.3680906026561,3,6.016329498349406,0.304721744437663,4
litecoin,Jan-2023,True,3.039570245083736,0.2650570977357929,0.997819940853639,1610.9717560207378,3,5.841868909319917,0.29270590843587185,4
litecoin,Feb-2023,True,2.8340938150260206,0.24713910873971712,0.9980899696685431,1983.4305394206795,2,5.984294317485941,0.35293391744308017,3
litecoin,Mar-2023,True,2.835403678501632,0.2472533316670659,0.9980904469853646,1943.7420299034743,2,5.983386389310923,0.34810659186535764,4
