ledger,snapshot_date,entropy,hhi,max_power_ratio,total_entities,theil_index
tezos-mirror,2023-04-05,0.08079313589591118,9802.0,0.99,2,0.637145646205098
tezos-mirror,2023-04-09,0.7744316288206642,7632.0,0.87,5,1.0726428123806109
tezos-mirror,2023-04-12,0.7053556861713612,7964.0,0.89,6,1.3028441640664499
tezos-mirror,2023-04-16,0.519116442129007,8326.0,0.91,3,0.7387881904240784
tezos-mirror,2023-04-19,0.7944842391835021,7332.0,0.85,4,0.8355998507305331
tezos-mirror,2023-04-22,0.08079313589591118,9802.0,0.99,2,0.637145646205098
tezos-mirror,2023-04-25,0.0,10000.0,1.0,1,0.0
tezos-mirror,2023-04-27,0.47488962042262073,8666.0,0.93,4,1.0571259596467686
tezos-mirror,2023-05-02,0.22194073285321086,9414.0,0.97,3,0.9447746954394983
tezos-mirror,2023-05-04,0.28229218908241477,9224.0,0.96,3,0.9029422537115388
tezos-mirror,2023-05-09,3.757124187979859,1004.0,0.23,20,0.39149223564217683
tezos-mirror,2023-05-11,2.7137654734235213,2208.0,0.4,12,0.6038677631835608
tezos-mirror,2023-05-14,0.7148167306993362,7396.0,0.85,4,0.890821159618568
tezos-mirror,2023-05-17,0.5466653171506416,8322.0,0.91,4,1.007374837827015
tezos-mirror,2023-05-19,1.091920516178624,6800.0,0.82,7,1.1890485218705398
tezos-mirror,2023-05-23,0.5060827854579047,8494.0,0.92,4,1.0355045052498204
tezos-mirror,2023-05-24,0.4689955935892812,8200.0,0.9,2,0.3680642071684971
tezos-mirror,2023-05-25,1.3429423760482455,5238.0,0.69,6,0.8609027476157397
tezos-mirror,2023-05-29,0.762398943641963,7626.0,0.87,4,0.8578396828725832
tezos-mirror,2023-05-31,0.22194073285321086,9414.0,0.97,3,0.9447746954394983
tezos-mirror,2023-06-01,0.6073635558851669,7848.0,0.88,3,0.6776199523314433
tezos-mirror,2023-06-05,0.43499379417611095,8848.0,0.94,5,1.307923190439856
tezos-mirror,2023-06-06,0.5656666624495429,8314.0,0.91,4,0.9942041089062357
tezos-mirror,2023-06-08,0.9528317772464062,7004.0,0.83,6,1.1313068092817864
tezos-mirror,2023-06-09,0.0,0.0,10000.0,10000.0,1.0
tezos-mirror,2023-06-09,0.0,0.0,10000.0,10000.0,1.0
tezos-mirror,2023-06-12,0.7004534362146307,7958.0,0.89,5,1.1239205880084038
tezos-mirror,2023-06-13,0.7258840990979307,7644.0,0.87,4,0.883149844416864
tezos-mirror,2023-06-15,0.22194073285321086,9414.0,0.97,3,0.9447746954394983
tezos-mirror,2023-06-18,0.4263420906998873,8678.0,0.93,3,0.8030944705454499
tezos-mirror,2023-06-21,0.0,10000.0,1.0,1,0.0
tezos-mirror,2023-06-22,0.5411884030780175,8168.0,0.9,3,0.7234890729228426
tezos-mirror,2023-06-25,0.9340449344621781,6334.0,0.77,4,0.7388637482811329
tezos-mirror,2023-06-27,0.5411884030780175,8168.0,0.9,3,0.7234890729228426
tezos-mirror,2023-06-29,0.0,10000.0,1.0,1,0.0
tezos-mirror,2023-06-30,0.22194073285321086,9414.0,0.97,3,0.9447746954394983
tezos-mirror,2023-07-04,0.28229218908241477,9224.0,0.96,3,0.9029422537115388
tezos-mirror,2023-07-06,0.0,10000.0,1.0,1,0.0
tezos-mirror,2023-07-08,0.14144054254182067,9608.0,0.98,2,0.5951080672802133
tezos-mirror,2023-07-11,0.14144054254182067,9608.0,0.98,2,0.5951080672802133
tezos-mirror,2023-07-16,1.2563205236931785,6340.0,0.79,8,1.2086265128023155
tezos-mirror,2023-07-18,0.0,10000.0,1.0,1,0.0
tezos-mirror,2023-07-19,0.6082998482997923,7714.0,0.87,3,0.6769709638840662
tezos-mirror,2023-07-22,0.6579578703362283,7692.0,0.87,4,0.9302327183691079
tezos-mirror,2023-07-25,0.08079313589591118,0.08079313589591118,9802.0,9802.0,0.99
tezos-mirror,2023-07-25,0.08079313589591118,0.08079313589591118,9802.0,9802.0,0.99
tezos-mirror,2023-07-27,0.9599716490582019,6744.0,0.81,5,0.9440362704719265
tezos-mirror,2023-07-29,0.0,10000.0,1.0,1,0.0
tezos-mirror,2023-08-02,0.7159110856079003,7794.0,0.88,4,0.8900626105991648
tezos-mirror,2023-08-06,1.031662929575662,7112.0,0.84,8,1.3643472907562528
tezos-mirror,2023-08-13,0.9214674294891233,7152.0,0.84,6,1.1530469184998489
tezos-mirror,2023-08-17,0.4824384954442553,8668.0,0.93,5,1.2750370295233329
tezos-mirror,2023-08-21,1.2724812826938106,6616.0,0.81,11,1.5158784593838528
tezos-mirror,2023-08-27,0.47488962042262073,8666.0,0.93,4,1.0571259596467686
tezos-mirror,2023-08-31,0.3022921890824148,9222.0,0.96,4,1.176761382552121
tezos-mirror,2023-09-03,0.3664462644533776,8862.0,0.94,3,0.844611093635527
tezos-mirror,2023-09-05,0.0,10000.0,1.0,1,0.0
tezos-mirror,2023-09-06,0.7656559061436188,7482.0,0.86,4,0.855582128497371
